epoch: 0	train ppl: 53720.421977125545	val ppl: 1783.8971334053117	best val: 1783.8971334053117	time (s) spent in epoch: 203.12461829185486
epoch: 1	train ppl: 1180.2657123088934	val ppl: 640.0749146696714	best val: 640.0749146696714	time (s) spent in epoch: 199.8894329071045
epoch: 2	train ppl: 628.1208151565295	val ppl: 464.9303203204272	best val: 464.9303203204272	time (s) spent in epoch: 197.42729210853577
epoch: 3	train ppl: 439.8842340010143	val ppl: 412.80381242909385	best val: 412.80381242909385	time (s) spent in epoch: 194.53112649917603
epoch: 4	train ppl: 333.08543225535675	val ppl: 320.87667545127556	best val: 320.87667545127556	time (s) spent in epoch: 194.3511164188385
epoch: 5	train ppl: 280.41209480694266	val ppl: 251.7231441495491	best val: 251.7231441495491	time (s) spent in epoch: 194.0010962486267
epoch: 6	train ppl: 239.58168921767603	val ppl: 287.5851416288462	best val: 251.7231441495491	time (s) spent in epoch: 194.36211681365967
epoch: 7	train ppl: 205.59271863279707	val ppl: 230.46330209401145	best val: 230.46330209401145	time (s) spent in epoch: 194.65513372421265
epoch: 8	train ppl: 180.04634123772362	val ppl: 232.1286645090832	best val: 230.46330209401145	time (s) spent in epoch: 194.1511046886444
epoch: 9	train ppl: 159.83968255646195	val ppl: 235.196287087337	best val: 230.46330209401145	time (s) spent in epoch: 194.08910131454468
epoch: 10	train ppl: 142.70714279453995	val ppl: 192.89647103800598	best val: 192.89647103800598	time (s) spent in epoch: 193.7250804901123
epoch: 11	train ppl: 127.69952665274288	val ppl: 207.41262792595572	best val: 192.89647103800598	time (s) spent in epoch: 194.48512387275696
epoch: 12	train ppl: 116.37715981840061	val ppl: 219.94628422992938	best val: 192.89647103800598	time (s) spent in epoch: 194.45212173461914
epoch: 13	train ppl: 103.22364893917016	val ppl: 183.40643957325403	best val: 183.40643957325403	time (s) spent in epoch: 193.90409088134766
epoch: 14	train ppl: 93.7482842481977	val ppl: 178.7842047834064	best val: 178.7842047834064	time (s) spent in epoch: 194.1461043357849
epoch: 15	train ppl: 72.24316420814009	val ppl: 169.75852023346854	best val: 169.75852023346854	time (s) spent in epoch: 194.2051079273224
epoch: 16	train ppl: 56.061607742767926	val ppl: 172.45174477689983	best val: 169.75852023346854	time (s) spent in epoch: 193.88808965682983
epoch: 17	train ppl: 44.35374777192016	val ppl: 171.0045730136411	best val: 169.75852023346854	time (s) spent in epoch: 194.10810232162476
epoch: 18	train ppl: 36.951119701907075	val ppl: 181.59751669483583	best val: 169.75852023346854	time (s) spent in epoch: 194.83714365959167
epoch: 19	train ppl: 32.69034583924373	val ppl: 189.7346909104405	best val: 169.75852023346854	time (s) spent in epoch: 193.89709043502808
epoch: 20	train ppl: 30.412075897199443	val ppl: 193.02103231490517	best val: 169.75852023346854	time (s) spent in epoch: 193.88108944892883
epoch: 21	train ppl: 29.342441079548315	val ppl: 192.32907644642742	best val: 169.75852023346854	time (s) spent in epoch: 194.05909943580627
epoch: 22	train ppl: 28.8553302661017	val ppl: 189.88100748597486	best val: 169.75852023346854	time (s) spent in epoch: 194.18410658836365
epoch: 23	train ppl: 28.662042549242127	val ppl: 188.5220856688372	best val: 169.75852023346854	time (s) spent in epoch: 194.35711669921875
epoch: 24	train ppl: 28.599557787577982	val ppl: 188.07054586511126	best val: 169.75852023346854	time (s) spent in epoch: 194.46812272071838
epoch: 25	train ppl: 28.602948957298608	val ppl: 187.97379868298722	best val: 169.75852023346854	time (s) spent in epoch: 194.41111993789673
epoch: 26	train ppl: 28.570592887684867	val ppl: 187.95653113930086	best val: 169.75852023346854	time (s) spent in epoch: 194.44812178611755
epoch: 27	train ppl: 28.566791388675338	val ppl: 187.954052473692	best val: 169.75852023346854	time (s) spent in epoch: 193.53906965255737
epoch: 28	train ppl: 28.548890475340045	val ppl: 187.95384521951743	best val: 169.75852023346854	time (s) spent in epoch: 194.19810724258423
epoch: 29	train ppl: 28.590789191243186	val ppl: 187.9538340165956	best val: 169.75852023346854	time (s) spent in epoch: 194.5331265926361
epoch: 30	train ppl: 28.554443956435183	val ppl: 187.95384521951743	best val: 169.75852023346854	time (s) spent in epoch: 194.55012774467468
epoch: 31	train ppl: 28.54686744555172	val ppl: 187.95384241878693	best val: 169.75852023346854	time (s) spent in epoch: 194.61113119125366
epoch: 32	train ppl: 28.592075659430257	val ppl: 187.95384241878693	best val: 169.75852023346854	time (s) spent in epoch: 194.36111688613892
epoch: 33	train ppl: 28.568035038168496	val ppl: 187.95384241878693	best val: 169.75852023346854	time (s) spent in epoch: 194.26511120796204
epoch: 34	train ppl: 28.611104992411192	val ppl: 187.95384241878693	best val: 169.75852023346854	time (s) spent in epoch: 196.37523198127747
epoch: 35	train ppl: 28.57083587440425	val ppl: 187.95384241878693	best val: 169.75852023346854	time (s) spent in epoch: 195.94620752334595
epoch: 36	train ppl: 28.57299750730013	val ppl: 187.95384241878693	best val: 169.75852023346854	time (s) spent in epoch: 194.1661057472229
epoch: 37	train ppl: 28.571896662000874	val ppl: 187.95384241878693	best val: 169.75852023346854	time (s) spent in epoch: 194.4591224193573
epoch: 38	train ppl: 28.555833198521352	val ppl: 187.95384241878693	best val: 169.75852023346854	time (s) spent in epoch: 194.18910694122314
epoch: 39	train ppl: 28.53958175108226	val ppl: 187.95384241878693	best val: 169.75852023346854	time (s) spent in epoch: 194.62313175201416
