epoch: 0	train ppl: 452.4982631850119	val ppl: 232.99377252183942	best val: 232.99377252183942	time (s) spent in epoch: 308.7729754447937
epoch: 1	train ppl: 233.76643329003744	val ppl: 170.58323236715768	best val: 170.58323236715768	time (s) spent in epoch: 313.9608681201935
epoch: 2	train ppl: 169.97347782918274	val ppl: 143.06598721361934	best val: 143.06598721361934	time (s) spent in epoch: 315.0218231678009
epoch: 3	train ppl: 134.60915730311302	val ppl: 128.51932338808578	best val: 128.51932338808578	time (s) spent in epoch: 312.9873561859131
epoch: 4	train ppl: 111.21944391584175	val ppl: 119.69547299065393	best val: 119.69547299065393	time (s) spent in epoch: 313.45857858657837
epoch: 5	train ppl: 94.06994934808512	val ppl: 114.13719609771013	best val: 114.13719609771013	time (s) spent in epoch: 313.76116275787354
epoch: 6	train ppl: 80.94522373645346	val ppl: 110.3336366442956	best val: 110.3336366442956	time (s) spent in epoch: 316.3939571380615
epoch: 7	train ppl: 70.1556440169127	val ppl: 108.90139690729417	best val: 108.90139690729417	time (s) spent in epoch: 316.50485134124756
epoch: 8	train ppl: 61.455927764477444	val ppl: 108.77618540700024	best val: 108.77618540700024	time (s) spent in epoch: 316.1235167980194
epoch: 9	train ppl: 53.83373305711608	val ppl: 109.76839843391447	best val: 108.77618540700024	time (s) spent in epoch: 314.87711477279663
epoch: 10	train ppl: 47.70242612506145	val ppl: 110.02188568299852	best val: 108.77618540700024	time (s) spent in epoch: 317.02043199539185
epoch: 11	train ppl: 41.78139011460464	val ppl: 113.4510252647866	best val: 108.77618540700024	time (s) spent in epoch: 313.12594962120056
epoch: 12	train ppl: 36.95403189343046	val ppl: 116.31236968799485	best val: 108.77618540700024	time (s) spent in epoch: 311.85026502609253
epoch: 13	train ppl: 32.675681740336636	val ppl: 118.13079187353321	best val: 108.77618540700024	time (s) spent in epoch: 315.5665147304535
epoch: 14	train ppl: 28.98659034663338	val ppl: 121.23760345006325	best val: 108.77618540700024	time (s) spent in epoch: 316.5277066230774
epoch: 15	train ppl: 25.78140890171695	val ppl: 124.48914381778786	best val: 108.77618540700024	time (s) spent in epoch: 313.73533511161804
epoch: 16	train ppl: 22.897918114637104	val ppl: 128.4547691414087	best val: 108.77618540700024	time (s) spent in epoch: 314.5060176849365
epoch: 17	train ppl: 20.46068020401451	val ppl: 133.53093048828146	best val: 108.77618540700024	time (s) spent in epoch: 314.9689645767212
epoch: 18	train ppl: 18.324421901311887	val ppl: 137.28331635903095	best val: 108.77618540700024	time (s) spent in epoch: 312.91386556625366
epoch: 19	train ppl: 16.455238857336518	val ppl: 142.3488565943236	best val: 108.77618540700024	time (s) spent in epoch: 313.43688774108887
epoch: 20	train ppl: 14.79972149662266	val ppl: 148.80109940877423	best val: 108.77618540700024	time (s) spent in epoch: 312.03111720085144
epoch: 21	train ppl: 13.40765186557049	val ppl: 154.39149735925167	best val: 108.77618540700024	time (s) spent in epoch: 314.9073021411896
epoch: 22	train ppl: 12.139817431643422	val ppl: 165.17187749272352	best val: 108.77618540700024	time (s) spent in epoch: 314.14500427246094
epoch: 23	train ppl: 11.037369750740682	val ppl: 174.80653921881648	best val: 108.77618540700024	time (s) spent in epoch: 315.79212713241577
epoch: 24	train ppl: 10.091642282498212	val ppl: 183.49647545888385	best val: 108.77618540700024	time (s) spent in epoch: 316.6389265060425
epoch: 25	train ppl: 9.247111781510434	val ppl: 196.15398925877085	best val: 108.77618540700024	time (s) spent in epoch: 317.2839255332947
epoch: 26	train ppl: 8.520408191509706	val ppl: 212.34380458451602	best val: 108.77618540700024	time (s) spent in epoch: 312.24211716651917
epoch: 27	train ppl: 7.839792010400257	val ppl: 227.41457729301928	best val: 108.77618540700024	time (s) spent in epoch: 309.0039722919464
epoch: 28	train ppl: 7.27985895332565	val ppl: 248.33908484758695	best val: 108.77618540700024	time (s) spent in epoch: 311.53673005104065
epoch: 29	train ppl: 6.7805741468389975	val ppl: 261.09892731796856	best val: 108.77618540700024	time (s) spent in epoch: 315.25464606285095
epoch: 30	train ppl: 6.3479698308825085	val ppl: 278.7189543075218	best val: 108.77618540700024	time (s) spent in epoch: 314.52009177207947
epoch: 31	train ppl: 5.942467923364597	val ppl: 289.29675329795884	best val: 108.77618540700024	time (s) spent in epoch: 317.1777982711792
epoch: 32	train ppl: 5.6014534908471685	val ppl: 311.37727218619705	best val: 108.77618540700024	time (s) spent in epoch: 316.93292140960693
epoch: 33	train ppl: 5.267041831315129	val ppl: 325.7762736006883	best val: 108.77618540700024	time (s) spent in epoch: 311.7143943309784
epoch: 34	train ppl: 4.990374254285883	val ppl: 352.6563274323086	best val: 108.77618540700024	time (s) spent in epoch: 311.54221987724304
epoch: 35	train ppl: 4.730653620412812	val ppl: 373.0914233791981	best val: 108.77618540700024	time (s) spent in epoch: 313.432724237442
epoch: 36	train ppl: 4.516415274356968	val ppl: 411.80331368763296	best val: 108.77618540700024	time (s) spent in epoch: 315.6008129119873
epoch: 37	train ppl: 4.3279176842342375	val ppl: 432.9900136009292	best val: 108.77618540700024	time (s) spent in epoch: 308.5658061504364
epoch: 38	train ppl: 4.1458850754320355	val ppl: 464.23003376580954	best val: 108.77618540700024	time (s) spent in epoch: 283.5577449798584
epoch: 39	train ppl: 3.978174504240067	val ppl: 493.7495574237331	best val: 108.77618540700024	time (s) spent in epoch: 287.5693709850311
