epoch: 0	train ppl: 358.3012154953358	val ppl: 205.13948746019068	best val: 205.13948746019068	time (s) spent in epoch: 269.7607750892639
epoch: 1	train ppl: 188.04886000685676	val ppl: 158.51297929366822	best val: 158.51297929366822	time (s) spent in epoch: 273.886971950531
epoch: 2	train ppl: 138.5740653032173	val ppl: 136.9767220034018	best val: 136.9767220034018	time (s) spent in epoch: 270.4976224899292
epoch: 3	train ppl: 110.26085995570293	val ppl: 124.30465398301047	best val: 124.30465398301047	time (s) spent in epoch: 273.31225538253784
epoch: 4	train ppl: 91.34030326050636	val ppl: 117.79347215612759	best val: 117.79347215612759	time (s) spent in epoch: 272.6320779323578
epoch: 5	train ppl: 77.78411058790189	val ppl: 114.64112364277673	best val: 114.64112364277673	time (s) spent in epoch: 269.04989290237427
epoch: 6	train ppl: 67.22451030774373	val ppl: 112.68608087042486	best val: 112.68608087042486	time (s) spent in epoch: 271.0160799026489
epoch: 7	train ppl: 58.62302962033345	val ppl: 112.2909060472159	best val: 112.2909060472159	time (s) spent in epoch: 272.62342381477356
epoch: 8	train ppl: 51.83102638397291	val ppl: 113.17308223394431	best val: 112.2909060472159	time (s) spent in epoch: 274.37414050102234
epoch: 9	train ppl: 46.051708683272174	val ppl: 114.31323069595898	best val: 112.2909060472159	time (s) spent in epoch: 269.7195665836334
epoch: 10	train ppl: 41.14122524276619	val ppl: 117.48920890989835	best val: 112.2909060472159	time (s) spent in epoch: 270.7983741760254
epoch: 11	train ppl: 36.95070246897466	val ppl: 118.66058118758481	best val: 112.2909060472159	time (s) spent in epoch: 271.4618299007416
epoch: 12	train ppl: 33.34015351192672	val ppl: 121.48196283161056	best val: 112.2909060472159	time (s) spent in epoch: 272.047324180603
epoch: 13	train ppl: 30.256474557723877	val ppl: 125.17865270592135	best val: 112.2909060472159	time (s) spent in epoch: 272.38065457344055
epoch: 14	train ppl: 27.47932088511272	val ppl: 127.67622511210118	best val: 112.2909060472159	time (s) spent in epoch: 275.8276991844177
epoch: 15	train ppl: 24.228522992321487	val ppl: 130.97494343917532	best val: 112.2909060472159	time (s) spent in epoch: 272.51025319099426
epoch: 16	train ppl: 20.95236324993306	val ppl: 132.26826463877717	best val: 112.2909060472159	time (s) spent in epoch: 273.7001585960388
epoch: 17	train ppl: 18.329653466905835	val ppl: 131.64400830424967	best val: 112.2909060472159	time (s) spent in epoch: 274.355509519577
epoch: 18	train ppl: 16.546092877851866	val ppl: 131.1129666088898	best val: 112.2909060472159	time (s) spent in epoch: 270.78967547416687
epoch: 19	train ppl: 15.61320958012861	val ppl: 129.6684217994013	best val: 112.2909060472159	time (s) spent in epoch: 270.8717427253723
epoch: 20	train ppl: 15.171912772632984	val ppl: 129.01404407617736	best val: 112.2909060472159	time (s) spent in epoch: 271.29057478904724
epoch: 21	train ppl: 14.971977421928177	val ppl: 128.72482287095272	best val: 112.2909060472159	time (s) spent in epoch: 276.829626083374
epoch: 22	train ppl: 14.888772612651763	val ppl: 128.78741014820093	best val: 112.2909060472159	time (s) spent in epoch: 272.9346709251404
epoch: 23	train ppl: 14.824623914171354	val ppl: 128.77414780765724	best val: 112.2909060472159	time (s) spent in epoch: 273.0152020454407
epoch: 24	train ppl: 14.828655217150905	val ppl: 128.7703345318544	best val: 112.2909060472159	time (s) spent in epoch: 275.1245677471161
epoch: 25	train ppl: 14.813239201107264	val ppl: 128.76763285105957	best val: 112.2909060472159	time (s) spent in epoch: 273.3534026145935
epoch: 26	train ppl: 14.831637191205958	val ppl: 128.76736970336225	best val: 112.2909060472159	time (s) spent in epoch: 274.4825134277344
epoch: 27	train ppl: 14.786700376937677	val ppl: 128.7674148143579	best val: 112.2909060472159	time (s) spent in epoch: 277.181663274765
epoch: 28	train ppl: 14.844266584062733	val ppl: 128.76742901597095	best val: 112.2909060472159	time (s) spent in epoch: 273.897292137146
epoch: 29	train ppl: 14.82436544316741	val ppl: 128.76743402830533	best val: 112.2909060472159	time (s) spent in epoch: 274.06799364089966
epoch: 30	train ppl: 14.822824593389822	val ppl: 128.76742525672026	best val: 112.2909060472159	time (s) spent in epoch: 274.4227819442749
epoch: 31	train ppl: 14.823492372189607	val ppl: 128.76742901597095	best val: 112.2909060472159	time (s) spent in epoch: 272.9222047328949
epoch: 32	train ppl: 14.799167555409728	val ppl: 128.76742859827644	best val: 112.2909060472159	time (s) spent in epoch: 272.1432933807373
epoch: 33	train ppl: 14.823509570749348	val ppl: 128.76742859827644	best val: 112.2909060472159	time (s) spent in epoch: 223.25157761573792
epoch: 34	train ppl: 14.843448428289008	val ppl: 128.76742859827644	best val: 112.2909060472159	time (s) spent in epoch: 218.99287366867065
epoch: 35	train ppl: 14.81491582827275	val ppl: 128.76742859827644	best val: 112.2909060472159	time (s) spent in epoch: 239.17138671875
epoch: 36	train ppl: 14.845157206484792	val ppl: 128.76742859827644	best val: 112.2909060472159	time (s) spent in epoch: 240.4405734539032
epoch: 37	train ppl: 14.83681995086029	val ppl: 128.76742859827644	best val: 112.2909060472159	time (s) spent in epoch: 241.3853898048401
epoch: 38	train ppl: 14.828933926088256	val ppl: 128.76742859827644	best val: 112.2909060472159	time (s) spent in epoch: 236.28684329986572
epoch: 39	train ppl: 14.859046232218265	val ppl: 128.76742859827644	best val: 112.2909060472159	time (s) spent in epoch: 237.17212581634521
