epoch: 0	train ppl: 473.5789993875242	val ppl: 327.4643599870251	best val: 327.4643599870251	time (s) spent in epoch: 236.41665244102478
epoch: 1	train ppl: 296.9347233585998	val ppl: 297.25386571172464	best val: 297.25386571172464	time (s) spent in epoch: 235.96585774421692
epoch: 2	train ppl: 247.89662045325986	val ppl: 253.16520696367132	best val: 253.16520696367132	time (s) spent in epoch: 236.89251017570496
epoch: 3	train ppl: 219.39409218509954	val ppl: 250.5388134780107	best val: 250.5388134780107	time (s) spent in epoch: 234.72564911842346
epoch: 4	train ppl: 199.10039866450015	val ppl: 246.30914356754278	best val: 246.30914356754278	time (s) spent in epoch: 236.28710341453552
epoch: 5	train ppl: 183.59569770963031	val ppl: 241.601696225107	best val: 241.601696225107	time (s) spent in epoch: 233.08337092399597
epoch: 6	train ppl: 170.87757753991403	val ppl: 232.26845316822573	best val: 232.26845316822573	time (s) spent in epoch: 234.75728487968445
epoch: 7	train ppl: 159.6363693825518	val ppl: 246.27748461271483	best val: 232.26845316822573	time (s) spent in epoch: 238.96442437171936
epoch: 8	train ppl: 150.48212225131738	val ppl: 247.20814022691766	best val: 232.26845316822573	time (s) spent in epoch: 236.02199864387512
epoch: 9	train ppl: 141.66430120561205	val ppl: 242.99636148494903	best val: 232.26845316822573	time (s) spent in epoch: 233.06574702262878
epoch: 10	train ppl: 134.10134870131077	val ppl: 245.35144793205478	best val: 232.26845316822573	time (s) spent in epoch: 233.08652710914612
epoch: 11	train ppl: 127.14243101599935	val ppl: 251.517703037013	best val: 232.26845316822573	time (s) spent in epoch: 233.2806429862976
epoch: 12	train ppl: 120.2407314782943	val ppl: 238.69326076090945	best val: 232.26845316822573	time (s) spent in epoch: 235.71333765983582
epoch: 13	train ppl: 114.61675413960532	val ppl: 244.09461891035673	best val: 232.26845316822573	time (s) spent in epoch: 238.08495688438416
epoch: 14	train ppl: 108.74386046956953	val ppl: 270.31926314284044	best val: 232.26845316822573	time (s) spent in epoch: 237.70622420310974
