epoch: 0	train ppl: 325.5198610750658	val ppl: 176.82102384391104	best val: 176.82102384391104	time (s) spent in epoch: 51.55689835548401
epoch: 1	train ppl: 124.51174623097052	val ppl: 137.37175335153782	best val: 137.37175335153782	time (s) spent in epoch: 51.78476047515869
epoch: 2	train ppl: 81.27999295887886	val ppl: 130.69263937876664	best val: 130.69263937876664	time (s) spent in epoch: 51.89119267463684
epoch: 3	train ppl: 59.17923967024876	val ppl: 134.91835547943984	best val: 130.69263937876664	time (s) spent in epoch: 51.57388472557068
epoch: 4	train ppl: 44.81909375047615	val ppl: 147.89714885162357	best val: 130.69263937876664	time (s) spent in epoch: 51.6438684463501
epoch: 5	train ppl: 34.95389418131679	val ppl: 165.82193935652313	best val: 130.69263937876664	time (s) spent in epoch: 51.60357737541199
epoch: 6	train ppl: 27.806572089949153	val ppl: 190.87393231880776	best val: 130.69263937876664	time (s) spent in epoch: 51.54113578796387
epoch: 7	train ppl: 22.530844365938545	val ppl: 220.6940321235442	best val: 130.69263937876664	time (s) spent in epoch: 51.522682189941406
epoch: 8	train ppl: 18.63422353019702	val ppl: 255.84678286286504	best val: 130.69263937876664	time (s) spent in epoch: 51.56112265586853
epoch: 9	train ppl: 15.63111886885214	val ppl: 294.8359235235398	best val: 130.69263937876664	time (s) spent in epoch: 51.536009788513184
epoch: 10	train ppl: 13.377330696674253	val ppl: 344.9301753323004	best val: 130.69263937876664	time (s) spent in epoch: 51.548831939697266
epoch: 11	train ppl: 11.654491144735239	val ppl: 402.82412371744016	best val: 130.69263937876664	time (s) spent in epoch: 51.561925411224365
epoch: 12	train ppl: 10.300008957407096	val ppl: 474.2980157234247	best val: 130.69263937876664	time (s) spent in epoch: 51.54865550994873
epoch: 13	train ppl: 9.234374129131286	val ppl: 546.5296384525047	best val: 130.69263937876664	time (s) spent in epoch: 51.49863052368164
epoch: 14	train ppl: 8.371923493220244	val ppl: 629.8145563152877	best val: 130.69263937876664	time (s) spent in epoch: 51.542359352111816
epoch: 15	train ppl: 7.650300475950725	val ppl: 714.77713201197	best val: 130.69263937876664	time (s) spent in epoch: 51.50072932243347
epoch: 16	train ppl: 7.066289053920503	val ppl: 817.7587828750433	best val: 130.69263937876664	time (s) spent in epoch: 51.52589392662048
epoch: 17	train ppl: 6.584843653269225	val ppl: 913.4359034749873	best val: 130.69263937876664	time (s) spent in epoch: 51.52118396759033
epoch: 18	train ppl: 6.148565278866004	val ppl: 1031.1837616101745	best val: 130.69263937876664	time (s) spent in epoch: 51.511213541030884
epoch: 19	train ppl: 5.7813056459014405	val ppl: 1161.7301088158754	best val: 130.69263937876664	time (s) spent in epoch: 51.46780276298523
epoch: 20	train ppl: 5.46883539369032	val ppl: 1296.933290833243	best val: 130.69263937876664	time (s) spent in epoch: 51.501044034957886
epoch: 21	train ppl: 5.212223041183363	val ppl: 1440.1001532877433	best val: 130.69263937876664	time (s) spent in epoch: 51.451924562454224
epoch: 22	train ppl: 4.953716941225314	val ppl: 1593.1634227819359	best val: 130.69263937876664	time (s) spent in epoch: 51.48602604866028
epoch: 23	train ppl: 4.756383259231955	val ppl: 1742.5282536216496	best val: 130.69263937876664	time (s) spent in epoch: 51.50999569892883
epoch: 24	train ppl: 4.571786759922007	val ppl: 1935.7796381331582	best val: 130.69263937876664	time (s) spent in epoch: 51.463828563690186
epoch: 25	train ppl: 4.404589395519996	val ppl: 2144.4691605417347	best val: 130.69263937876664	time (s) spent in epoch: 51.41456198692322
epoch: 26	train ppl: 4.251840938543731	val ppl: 2311.9546073399324	best val: 130.69263937876664	time (s) spent in epoch: 51.41907238960266
epoch: 27	train ppl: 4.1160113540147645	val ppl: 2511.714053290491	best val: 130.69263937876664	time (s) spent in epoch: 51.55180859565735
epoch: 28	train ppl: 3.986313090079473	val ppl: 2735.9709789087624	best val: 130.69263937876664	time (s) spent in epoch: 51.449398040771484
epoch: 29	train ppl: 3.8801897933632437	val ppl: 2925.9052927956254	best val: 130.69263937876664	time (s) spent in epoch: 51.44634699821472
epoch: 30	train ppl: 3.765646482478416	val ppl: 3147.0959903294734	best val: 130.69263937876664	time (s) spent in epoch: 51.44100999832153
epoch: 31	train ppl: 3.6686406898361508	val ppl: 3293.3682973504187	best val: 130.69263937876664	time (s) spent in epoch: 51.3638653755188
epoch: 32	train ppl: 3.592717359036684	val ppl: 3547.605748146219	best val: 130.69263937876664	time (s) spent in epoch: 51.441094398498535
epoch: 33	train ppl: 3.4953967804963453	val ppl: 3812.823087730396	best val: 130.69263937876664	time (s) spent in epoch: 51.42605209350586
epoch: 34	train ppl: 3.42917292047205	val ppl: 4092.2169296087604	best val: 130.69263937876664	time (s) spent in epoch: 51.418832540512085
epoch: 35	train ppl: 3.3524858296675477	val ppl: 4370.71585128652	best val: 130.69263937876664	time (s) spent in epoch: 51.42176938056946
epoch: 36	train ppl: 3.2907473931531315	val ppl: 4684.946680401166	best val: 130.69263937876664	time (s) spent in epoch: 51.43843197822571
epoch: 37	train ppl: 3.234639782590211	val ppl: 4998.63914710124	best val: 130.69263937876664	time (s) spent in epoch: 51.40452718734741
epoch: 38	train ppl: 3.166279037275051	val ppl: 5285.3370917309485	best val: 130.69263937876664	time (s) spent in epoch: 51.46291708946228
epoch: 39	train ppl: 3.1225666227836966	val ppl: 5492.2012015657865	best val: 130.69263937876664	time (s) spent in epoch: 51.38061547279358
