epoch: 0	train ppl: 720.2019179790259	val ppl: 498.0845452203663	best val: 498.0845452203663	time (s) spent in epoch: 51.58369827270508
epoch: 1	train ppl: 435.91483691654247	val ppl: 441.5100889135182	best val: 441.5100889135182	time (s) spent in epoch: 51.882580518722534
epoch: 2	train ppl: 395.98111986614845	val ppl: 426.8110246642267	best val: 426.8110246642267	time (s) spent in epoch: 51.858487367630005
epoch: 3	train ppl: 375.5970747967156	val ppl: 415.00472849563147	best val: 415.00472849563147	time (s) spent in epoch: 51.860512018203735
epoch: 4	train ppl: 358.04358977803355	val ppl: 392.22684232475586	best val: 392.22684232475586	time (s) spent in epoch: 51.89539408683777
epoch: 5	train ppl: 348.4423096265895	val ppl: 401.83057287684363	best val: 392.22684232475586	time (s) spent in epoch: 51.59480357170105
epoch: 6	train ppl: 334.4919164632411	val ppl: 387.5610128324332	best val: 387.5610128324332	time (s) spent in epoch: 51.88680577278137
epoch: 7	train ppl: 320.73892758230227	val ppl: 377.8303749411827	best val: 377.8303749411827	time (s) spent in epoch: 51.82266449928284
epoch: 8	train ppl: 309.58388563173105	val ppl: 378.086936100264	best val: 377.8303749411827	time (s) spent in epoch: 51.467984437942505
epoch: 9	train ppl: 302.322764617535	val ppl: 368.1822967908921	best val: 368.1822967908921	time (s) spent in epoch: 51.813312292099
epoch: 10	train ppl: 295.92545815799144	val ppl: 363.9223965280859	best val: 363.9223965280859	time (s) spent in epoch: 51.816250801086426
epoch: 11	train ppl: 289.01026586033225	val ppl: 365.73395219307463	best val: 363.9223965280859	time (s) spent in epoch: 51.482306480407715
epoch: 12	train ppl: 280.69566451876767	val ppl: 357.0513325125955	best val: 357.0513325125955	time (s) spent in epoch: 51.76593208312988
epoch: 13	train ppl: 271.66259102669324	val ppl: 350.57152503856713	best val: 350.57152503856713	time (s) spent in epoch: 51.75697445869446
epoch: 14	train ppl: 269.2885143314694	val ppl: 349.93853982260856	best val: 349.93853982260856	time (s) spent in epoch: 51.663695096969604
epoch: 15	train ppl: 265.48298757465847	val ppl: 350.2035988515524	best val: 349.93853982260856	time (s) spent in epoch: 51.4276077747345
epoch: 16	train ppl: 259.82231870133944	val ppl: 351.69701453130597	best val: 349.93853982260856	time (s) spent in epoch: 51.52730917930603
epoch: 17	train ppl: 256.49099217218117	val ppl: 350.78612675753726	best val: 349.93853982260856	time (s) spent in epoch: 51.522483110427856
epoch: 18	train ppl: 252.2129665621012	val ppl: 351.06254120161253	best val: 349.93853982260856	time (s) spent in epoch: 51.53635382652283
epoch: 19	train ppl: 250.32231569753347	val ppl: 345.04309597973025	best val: 345.04309597973025	time (s) spent in epoch: 51.757973432540894
epoch: 20	train ppl: 246.0748996012723	val ppl: 349.85927811447726	best val: 345.04309597973025	time (s) spent in epoch: 51.446616649627686
epoch: 21	train ppl: 244.27135973339796	val ppl: 351.9175911095141	best val: 345.04309597973025	time (s) spent in epoch: 51.48639726638794
epoch: 22	train ppl: 238.06518334315257	val ppl: 344.50874858045626	best val: 344.50874858045626	time (s) spent in epoch: 51.81275272369385
epoch: 23	train ppl: 231.9327561125863	val ppl: 343.8573081560398	best val: 343.8573081560398	time (s) spent in epoch: 51.77378869056702
epoch: 24	train ppl: 232.36030065865845	val ppl: 346.75557832240185	best val: 343.8573081560398	time (s) spent in epoch: 51.50541877746582
epoch: 25	train ppl: 226.77937444523883	val ppl: 334.5356015893646	best val: 334.5356015893646	time (s) spent in epoch: 51.703433990478516
epoch: 26	train ppl: 223.25669797072266	val ppl: 337.83403937461	best val: 334.5356015893646	time (s) spent in epoch: 51.38584756851196
epoch: 27	train ppl: 223.61494474113277	val ppl: 335.1864932616991	best val: 334.5356015893646	time (s) spent in epoch: 51.48457312583923
epoch: 28	train ppl: 220.13088645891742	val ppl: 329.36836613180594	best val: 329.36836613180594	time (s) spent in epoch: 51.73533296585083
epoch: 29	train ppl: 216.61104538038174	val ppl: 336.1192443095697	best val: 329.36836613180594	time (s) spent in epoch: 51.45866417884827
epoch: 30	train ppl: 214.53153942329078	val ppl: 339.3706240848462	best val: 329.36836613180594	time (s) spent in epoch: 51.499935150146484
epoch: 31	train ppl: 211.2572888255034	val ppl: 341.72946729422034	best val: 329.36836613180594	time (s) spent in epoch: 51.466468811035156
epoch: 32	train ppl: 208.02650660498543	val ppl: 340.8527756709386	best val: 329.36836613180594	time (s) spent in epoch: 51.38977932929993
epoch: 33	train ppl: 205.83830032312846	val ppl: 339.03494363817174	best val: 329.36836613180594	time (s) spent in epoch: 51.45907020568848
epoch: 34	train ppl: 206.1947215628451	val ppl: 331.0706824205197	best val: 329.36836613180594	time (s) spent in epoch: 51.45649242401123
epoch: 35	train ppl: 204.13153150848467	val ppl: 331.36308212048834	best val: 329.36836613180594	time (s) spent in epoch: 51.43844985961914
epoch: 36	train ppl: 200.84865391339298	val ppl: 338.53401279124836	best val: 329.36836613180594	time (s) spent in epoch: 51.41630530357361
epoch: 37	train ppl: 199.06567120344832	val ppl: 337.48568686949335	best val: 329.36836613180594	time (s) spent in epoch: 51.448631286621094
epoch: 38	train ppl: 199.8929161195576	val ppl: 327.2436678419583	best val: 327.2436678419583	time (s) spent in epoch: 51.615864992141724
epoch: 39	train ppl: 197.02751496112094	val ppl: 343.34657123791925	best val: 327.2436678419583	time (s) spent in epoch: 51.43433713912964
