epoch: 0	train ppl: 10632.149161398507	val ppl: 1832.9797865450057	best val: 1832.9797865450057	time (s) spent in epoch: 189.16481947898865
epoch: 1	train ppl: 944.3862791198745	val ppl: 609.5944618528333	best val: 609.5944618528333	time (s) spent in epoch: 189.20682168006897
epoch: 2	train ppl: 306.1647935768407	val ppl: 16.548033063016472	best val: 16.548033063016472	time (s) spent in epoch: 189.30482745170593
epoch: 3	train ppl: 3.991614003240905	val ppl: 2.104704325931802	best val: 2.104704325931802	time (s) spent in epoch: 188.34977316856384
epoch: 4	train ppl: 1.7728553481034752	val ppl: 1.6135880121327808	best val: 1.6135880121327808	time (s) spent in epoch: 189.2188229560852
epoch: 5	train ppl: 2.294405837216059	val ppl: 7.669956293022789	best val: 1.6135880121327808	time (s) spent in epoch: 188.80279874801636
epoch: 6	train ppl: 684.9783511661957	val ppl: 2395.435614283653	best val: 1.6135880121327808	time (s) spent in epoch: 188.33277201652527
epoch: 7	train ppl: 953.8011562738775	val ppl: 625.3765080508064	best val: 1.6135880121327808	time (s) spent in epoch: 188.57278561592102
epoch: 8	train ppl: 512.2337742940589	val ppl: 439.56888899255597	best val: 1.6135880121327808	time (s) spent in epoch: 189.41183376312256
epoch: 9	train ppl: 407.69758962196613	val ppl: 916.2691428758275	best val: 1.6135880121327808	time (s) spent in epoch: 188.81079936027527
epoch: 10	train ppl: 171.20546473190322	val ppl: 19.154881249525747	best val: 1.6135880121327808	time (s) spent in epoch: 189.5038390159607
epoch: 11	train ppl: 26.30704368615315	val ppl: 32.5165815399232	best val: 1.6135880121327808	time (s) spent in epoch: 187.9787518978119
epoch: 12	train ppl: 14.583328240058204	val ppl: 4.690693482239123	best val: 1.6135880121327808	time (s) spent in epoch: 192.1329894065857
epoch: 13	train ppl: 9.533687998585432	val ppl: 16.774050596812465	best val: 1.6135880121327808	time (s) spent in epoch: 192.5000102519989
epoch: 14	train ppl: 5.970627142616937	val ppl: 7.378348368557214	best val: 1.6135880121327808	time (s) spent in epoch: 192.77502608299255
epoch: 15	train ppl: 4.483231939587068	val ppl: 5.274081456847314	best val: 1.6135880121327808	time (s) spent in epoch: 189.2768259048462
epoch: 16	train ppl: 3.686837450005012	val ppl: 1.9144127157100765	best val: 1.6135880121327808	time (s) spent in epoch: 188.95080733299255
epoch: 17	train ppl: 1.5484782866020212	val ppl: 1.517439101450729	best val: 1.517439101450729	time (s) spent in epoch: 191.82097148895264
epoch: 18	train ppl: 1.2980372540101748	val ppl: 1.348852496446383	best val: 1.348852496446383	time (s) spent in epoch: 188.3137710094452
epoch: 19	train ppl: 1.2458609888105425	val ppl: 1.313972234453281	best val: 1.313972234453281	time (s) spent in epoch: 187.1137022972107
epoch: 20	train ppl: 1.2261960241423089	val ppl: 1.3009780594708689	best val: 1.3009780594708689	time (s) spent in epoch: 185.39660382270813
epoch: 21	train ppl: 1.2180131023787564	val ppl: 1.2925783055831803	best val: 1.2925783055831803	time (s) spent in epoch: 185.36760258674622
epoch: 22	train ppl: 1.2153292280685182	val ppl: 1.2900322887656404	best val: 1.2900322887656404	time (s) spent in epoch: 186.04464101791382
epoch: 23	train ppl: 1.2149621928371812	val ppl: 1.2895316705739932	best val: 1.2895316705739932	time (s) spent in epoch: 185.13758897781372
epoch: 24	train ppl: 1.215052424013599	val ppl: 1.2894320101320702	best val: 1.2894320101320702	time (s) spent in epoch: 185.29159808158875
epoch: 25	train ppl: 1.2152535472699693	val ppl: 1.289380321212961	best val: 1.289380321212961	time (s) spent in epoch: 184.9485785961151
epoch: 26	train ppl: 1.2144334610369323	val ppl: 1.289368436663116	best val: 1.289368436663116	time (s) spent in epoch: 184.4605507850647
epoch: 27	train ppl: 1.2141455976508517	val ppl: 1.2893678848873942	best val: 1.2893678848873942	time (s) spent in epoch: 185.3766028881073
epoch: 28	train ppl: 1.21407390518085	val ppl: 1.2893674579968728	best val: 1.2893674579968728	time (s) spent in epoch: 185.6226167678833
epoch: 29	train ppl: 1.2151436333734535	val ppl: 1.2893674129662351	best val: 1.2893674129662351	time (s) spent in epoch: 184.7635679244995
epoch: 30	train ppl: 1.213869533732009	val ppl: 1.2893674201711371	best val: 1.2893674129662351	time (s) spent in epoch: 184.93657779693604
epoch: 31	train ppl: 1.213884065395143	val ppl: 1.2893674165686861	best val: 1.2893674129662351	time (s) spent in epoch: 185.32159972190857
epoch: 32	train ppl: 1.213479753816257	val ppl: 1.2893674177695031	best val: 1.2893674129662351	time (s) spent in epoch: 185.13858914375305
epoch: 33	train ppl: 1.2129628793467475	val ppl: 1.2893674177695031	best val: 1.2893674129662351	time (s) spent in epoch: 185.16659092903137
epoch: 34	train ppl: 1.2152982357432796	val ppl: 1.2893674177695031	best val: 1.2893674129662351	time (s) spent in epoch: 184.80957078933716
epoch: 35	train ppl: 1.2143813240877561	val ppl: 1.2893674177695031	best val: 1.2893674129662351	time (s) spent in epoch: 184.56955695152283
epoch: 36	train ppl: 1.2145820918396844	val ppl: 1.2893674177695031	best val: 1.2893674129662351	time (s) spent in epoch: 187.07369995117188
epoch: 37	train ppl: 1.214507791322365	val ppl: 1.2893674177695031	best val: 1.2893674129662351	time (s) spent in epoch: 187.60973072052002
epoch: 38	train ppl: 1.2138150484146828	val ppl: 1.2893674177695031	best val: 1.2893674129662351	time (s) spent in epoch: 184.5905578136444
epoch: 39	train ppl: 1.2135156292395353	val ppl: 1.2893674177695031	best val: 1.2893674129662351	time (s) spent in epoch: 183.98652386665344
