epoch: 0	train ppl: 621108.1024697521	val ppl: 4480.906077876338	best val: 4480.906077876338	time (s) spent in epoch: 107.77133178710938
epoch: 1	train ppl: 11122.298742109515	val ppl: 2185.1418350011822	best val: 2185.1418350011822	time (s) spent in epoch: 107.70363068580627
epoch: 2	train ppl: 2351.737494758857	val ppl: 2019.4889356691926	best val: 2019.4889356691926	time (s) spent in epoch: 107.84212446212769
epoch: 3	train ppl: 1257.8106780853502	val ppl: 2064.4926099564764	best val: 2019.4889356691926	time (s) spent in epoch: 107.64354181289673
epoch: 4	train ppl: 849.0094039269753	val ppl: 749.8716394887794	best val: 749.8716394887794	time (s) spent in epoch: 108.44449210166931
epoch: 5	train ppl: 664.7111384487033	val ppl: 659.3841379886039	best val: 659.3841379886039	time (s) spent in epoch: 108.16315007209778
epoch: 6	train ppl: 538.0752291091441	val ppl: 440.3297629352718	best val: 440.3297629352718	time (s) spent in epoch: 108.14242148399353
epoch: 7	train ppl: 468.31157562766185	val ppl: 471.9909172602259	best val: 440.3297629352718	time (s) spent in epoch: 107.72569704055786
epoch: 8	train ppl: 397.25273738300996	val ppl: 402.18344166105874	best val: 402.18344166105874	time (s) spent in epoch: 108.28597521781921
epoch: 9	train ppl: 357.42652213501196	val ppl: 318.6067899474979	best val: 318.6067899474979	time (s) spent in epoch: 108.21547102928162
epoch: 10	train ppl: 313.57469810757954	val ppl: 358.347022491575	best val: 318.6067899474979	time (s) spent in epoch: 107.65021228790283
epoch: 11	train ppl: 283.68952760313334	val ppl: 286.98246493730846	best val: 286.98246493730846	time (s) spent in epoch: 108.2127959728241
epoch: 12	train ppl: 252.48846339456136	val ppl: 259.6729152576517	best val: 259.6729152576517	time (s) spent in epoch: 107.76610469818115
epoch: 13	train ppl: 229.69581123720283	val ppl: 264.8950770700636	best val: 259.6729152576517	time (s) spent in epoch: 107.44097375869751
epoch: 14	train ppl: 211.35470628000917	val ppl: 259.43779923649333	best val: 259.43779923649333	time (s) spent in epoch: 107.82206583023071
epoch: 15	train ppl: 191.53538916899421	val ppl: 274.37703614253815	best val: 259.43779923649333	time (s) spent in epoch: 107.07043886184692
epoch: 16	train ppl: 170.314443535828	val ppl: 198.00841787774326	best val: 198.00841787774326	time (s) spent in epoch: 107.7210750579834
epoch: 17	train ppl: 157.38122378800136	val ppl: 219.11379725772036	best val: 198.00841787774326	time (s) spent in epoch: 107.0541934967041
epoch: 18	train ppl: 147.07923153944773	val ppl: 184.82875197187835	best val: 184.82875197187835	time (s) spent in epoch: 107.52738046646118
epoch: 19	train ppl: 133.78970717359496	val ppl: 187.63111995178733	best val: 184.82875197187835	time (s) spent in epoch: 107.05383634567261
epoch: 20	train ppl: 123.1734407831043	val ppl: 182.04194061386391	best val: 182.04194061386391	time (s) spent in epoch: 107.74128556251526
epoch: 21	train ppl: 115.15082919775983	val ppl: 174.95371544404253	best val: 174.95371544404253	time (s) spent in epoch: 107.71724581718445
epoch: 22	train ppl: 107.47530587205358	val ppl: 195.32611984166874	best val: 174.95371544404253	time (s) spent in epoch: 107.17643332481384
epoch: 23	train ppl: 100.47828824824785	val ppl: 173.76823238679083	best val: 173.76823238679083	time (s) spent in epoch: 107.57710313796997
epoch: 24	train ppl: 92.55969953910507	val ppl: 172.24865011511432	best val: 172.24865011511432	time (s) spent in epoch: 107.54322814941406
epoch: 25	train ppl: 87.11796063884482	val ppl: 188.59271089515315	best val: 172.24865011511432	time (s) spent in epoch: 107.17958235740662
epoch: 26	train ppl: 81.85638849851672	val ppl: 174.85547948054528	best val: 172.24865011511432	time (s) spent in epoch: 107.04651522636414
epoch: 27	train ppl: 75.93908359230217	val ppl: 176.57058605718018	best val: 172.24865011511432	time (s) spent in epoch: 107.03763127326965
epoch: 28	train ppl: 70.65389371459092	val ppl: 207.02826789448656	best val: 172.24865011511432	time (s) spent in epoch: 107.12886142730713
epoch: 29	train ppl: 67.39011284053191	val ppl: 171.9318920688935	best val: 171.9318920688935	time (s) spent in epoch: 107.4881546497345
epoch: 30	train ppl: 61.793082820701954	val ppl: 199.1981898796449	best val: 171.9318920688935	time (s) spent in epoch: 107.08785057067871
epoch: 31	train ppl: 58.74686507373847	val ppl: 193.92539992686025	best val: 171.9318920688935	time (s) spent in epoch: 107.0576913356781
epoch: 32	train ppl: 54.56086216707517	val ppl: 205.33022394617407	best val: 171.9318920688935	time (s) spent in epoch: 107.03727054595947
epoch: 33	train ppl: 52.29881504616611	val ppl: 198.26025436132673	best val: 171.9318920688935	time (s) spent in epoch: 107.04815769195557
epoch: 34	train ppl: 47.65596741324288	val ppl: 234.18389030767452	best val: 171.9318920688935	time (s) spent in epoch: 107.04689812660217
epoch: 35	train ppl: 45.94101414035089	val ppl: 201.17555602022716	best val: 171.9318920688935	time (s) spent in epoch: 107.03935241699219
epoch: 36	train ppl: 42.87389254976003	val ppl: 241.51240387807906	best val: 171.9318920688935	time (s) spent in epoch: 107.04720830917358
epoch: 37	train ppl: 39.56942157189687	val ppl: 226.11825583830662	best val: 171.9318920688935	time (s) spent in epoch: 107.04791069030762
epoch: 38	train ppl: 37.5049741553285	val ppl: 233.3825142749202	best val: 171.9318920688935	time (s) spent in epoch: 107.03944301605225
epoch: 39	train ppl: 35.792517049282324	val ppl: 287.2357378536908	best val: 171.9318920688935	time (s) spent in epoch: 107.04025363922119
